Districtwise IPC Crimes - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes,
,,,Murder (Sec.302 IPC),,,Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Suicide (Sec.309 IPC),,,,,,,Human Trafficking (U/S 370),Rape (Sec.376 IPC),,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Offences against Property (Total),,,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),,,
,             STATE / UT,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),,,,,,"Assault on Women 
(Sec.354 IPC)",,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),cyber crime(Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",,,"Theft (Total) (Col.92+Col.93)
",,,, Cheating (Sec.420 IPC), Forgery,,,,,,,,,,,
,,,,,Hit and Run,,,,Acid Attack (Sec.326A IPC),,Sexual Harassment (Sec.354A IPC+AJ4+AK5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bihar,Darbhanga,64,197,88,0,12,0,0,7,0,0,0,226,0,21,1074,4,46,1225,156,49,0,0,0,0,26,5,0,0,589,5460,
13,Bihar,Gaya,144,347,39,0,206,0,0,8,0,0,0,547,8,72,2148,91,131,2630,462,309,0,0,0,0,102,0,0,0,0,10878,
14,Bihar,Gopalganj,61,227,92,0,601,0,0,4,0,0,0,339,0,7,878,23,66,1048,189,24,0,0,0,0,38,0,0,0,0,5358,
15,Bihar,Jamalpur Railway,1,0,0,0,0,0,0,0,1,0,0,5,0,0,189,0,1,241,1,0,0,0,0,0,0,0,0,0,1,264,
16,Bihar,Jamui,41,159,53,0,4,0,0,5,0,0,0,127,0,4,307,16,28,409,33,55,0,0,0,0,17,0,0,0,0,2960,
17,Bihar,Jehanabad,29,81,14,3,157,0,0,4,0,0,0,98,0,3,406,5,13,472,85,28,0,0,0,0,20,0,0,0,0,2380,
18,Bihar,Katihar,65,133,57,0,166,0,0,3,0,0,0,235,5,50,576,11,33,891,45,34,0,1,0,0,51,0,0,0,0,4146,
19,Bihar,Katihar Railway,2,0,0,0,0,0,0,1,0,0,0,0,6,0,266,0,3,370,0,2,0,0,0,0,0,0,0,0,1,395,
20,Bihar,Khagaria,63,153,103,0,261,0,0,6,0,0,0,234,0,6,377,19,42,515,0,175,0,0,0,0,22,0,0,0,0,3479,
21,Bihar,Kishanganj,44,48,25,1,99,0,0,0,0,0,0,117,0,42,289,7,18,379,26,12,0,0,1,0,17,1,0,0,1,1574,
22,Bihar,Lakhisarai,39,80,72,0,192,0,0,1,2,3,0,150,0,10,186,9,9,249,12,0,0,0,0,0,22,0,4,0,2,1821,
